ward22cd,ward22nm,building_use,construction_age_band,wall_type,wall_insulation,roof_type,roof_insulation,glazing_type,built_form,property_type,total_floor_area,estimated_floor_count,number_habitable_rooms,epc_score,main_heat_type,main_fuel_type,energy_consumption,tenure,lookup_age_band,u_value_wall,u_value_roof,u_value_floor,u_value_glazing
E05013653,Bloomsbury,mixed use,1930-1949,cavity,uninsulated,flat,uninsulated,double/triple,end-terrace,flat,216,7.0,7 to 8,61,boiler,mains gas,36333,private-rented,1920-1949,1.6,1.7,,2.4
E05013653,Bloomsbury,mixed use,1930-1949,solid,uninsulated,another dwelling above,another dwelling above,single/partial,end-terrace,flat,71,7.0,3,64,boiler,mains gas,15544,private-rented,1920-1949,1.6,,,5.75
E05013653,Bloomsbury,mixed use,1930-1949,solid,uninsulated,another dwelling above,another dwelling above,single/partial,end-terrace,flat,71,7.0,3,64,boiler,mains gas,15544,private-rented,1920-1949,1.6,,,5.75
E05013653,Bloomsbury,mixed use,1930-1949,cavity,uninsulated,flat,uninsulated,double/triple,end-terrace,flat,216,7.0,7 to 8,61,boiler,mains gas,36333,private-rented,1920-1949,1.6,1.7,,2.4
E05013653,Bloomsbury,mixed use,1930-1949,cavity,uninsulated,flat,uninsulated,double/triple,end-terrace,flat,216,7.0,7 to 8,61,boiler,mains gas,36333,private-rented,1920-1949,1.6,1.7,,2.4
E05013653,Bloomsbury,mixed use,1930-1949,cavity,uninsulated,flat,uninsulated,double/triple,end-terrace,flat,216,7.0,7 to 8,61,boiler,mains gas,36333,private-rented,1920-1949,1.6,1.7,,2.4
E05013653,Bloomsbury,mixed use,1930-1949,cavity,uninsulated,flat,uninsulated,double/triple,end-terrace,flat,216,7.0,7 to 8,61,boiler,mains gas,36333,private-rented,1920-1949,1.6,1.7,,2.4
E05013653,Bloomsbury,mixed use,1930-1949,solid,uninsulated,another dwelling above,another dwelling above,single/partial,end-terrace,flat,71,7.0,3,64,boiler,mains gas,15544,private-rented,1920-1949,1.6,,,5.75
E05013653,Bloomsbury,mixed use,1930-1949,solid,uninsulated,another dwelling above,another dwelling above,single/partial,end-terrace,flat,71,7.0,3,64,boiler,mains gas,15544,private-rented,1920-1949,1.6,,,5.75
E05013653,Bloomsbury,mixed use,1930-1949,solid,uninsulated,another dwelling above,another dwelling above,single/partial,end-terrace,flat,71,7.0,3,64,boiler,mains gas,15544,private-rented,1920-1949,1.6,,,5.75
E05013653,Bloomsbury,mixed use,1930-1949,cavity,uninsulated,flat,uninsulated,double/triple,end-terrace,flat,216,7.0,7 to 8,61,boiler,mains gas,36333,private-rented,1920-1949,1.6,1.7,,2.4
E05013653,Bloomsbury,mixed use,1930-1949,solid,uninsulated,another dwelling above,another dwelling above,single/partial,end-terrace,flat,71,7.0,3,64,boiler,mains gas,15544,private-rented,1920-1949,1.6,,,5.75
E05013653,Bloomsbury,mixed use,1930-1949,solid,uninsulated,another dwelling above,another dwelling above,single/partial,end-terrace,flat,71,7.0,3,64,boiler,mains gas,15544,private-rented,1920-1949,1.6,,,5.75
E05013653,Bloomsbury,mixed use,1930-1949,cavity,uninsulated,flat,uninsulated,double/triple,end-terrace,flat,216,7.0,7 to 8,61,boiler,mains gas,36333,private-rented,1920-1949,1.6,1.7,,2.4
E05013653,Bloomsbury,mixed use,1930-1949,solid,uninsulated,another dwelling above,another dwelling above,single/partial,end-terrace,flat,71,7.0,3,64,boiler,mains gas,15544,private-rented,1920-1949,1.6,,,5.75
E05013653,Bloomsbury,residential only,pre-1900,solid,uninsulated,another dwelling above,another dwelling above,single/partial,end-terrace,flat,79,4.0,4,76,communal,mains gas,8799,private-rented,pre-1920,1.7,,,5.75
E05013653,Bloomsbury,residential only,pre-1900,solid,uninsulated,another dwelling above,another dwelling above,double/triple,end-terrace,flat,75,,3,69,boiler,mains gas,12653,owner-occupied,pre-1920,1.7,,,2.4
E05013653,Bloomsbury,mixed use,1930-1949,solid,uninsulated,another dwelling above,another dwelling above,single/partial,end-terrace,flat,71,7.0,3,64,boiler,mains gas,15544,private-rented,1920-1949,1.6,,,5.75
E05013653,Bloomsbury,residential only,pre-1900,solid,uninsulated,pitched,insulated,double/triple,mid-terrace,flat,80,4.0,3,74,boiler,mains gas,7601,private-rented,pre-1920,1.7,,,2.4
E05013653,Bloomsbury,mixed use,1930-1949,solid,uninsulated,another dwelling above,another dwelling above,single/partial,end-terrace,flat,71,7.0,3,64,boiler,mains gas,15544,private-rented,1920-1949,1.6,,,5.75
E05013653,Bloomsbury,mixed use,1900-1929,cavity,uninsulated,another dwelling above,another dwelling above,double/triple,mid-terrace,flat,100,1.0,4,75,boiler,mains gas,10589,private-rented,pre-1920,1.7,,,2.4
E05013653,Bloomsbury,mixed use,1930-1949,cavity,uninsulated,flat,uninsulated,double/triple,end-terrace,flat,216,7.0,7 to 8,61,boiler,mains gas,36333,private-rented,1920-1949,1.6,1.7,,2.4
E05013653,Bloomsbury,mixed use,1930-1949,solid,uninsulated,another dwelling above,another dwelling above,single/partial,end-terrace,flat,71,7.0,3,64,boiler,mains gas,15544,private-rented,1920-1949,1.6,,,5.75
E05013653,Bloomsbury,mixed use,1930-1949,cavity,uninsulated,flat,uninsulated,double/triple,end-terrace,flat,216,7.0,7 to 8,61,boiler,mains gas,36333,private-rented,1920-1949,1.6,1.7,,2.4
E05013653,Bloomsbury,residential only,1900-1929,solid,uninsulated,another dwelling above,another dwelling above,secondary,end-terrace,flat,27,,up to 2,58,other,electricity,3715,private-rented,pre-1920,1.7,,,2.82
E05013653,Bloomsbury,mixed use,1930-1949,solid,uninsulated,another dwelling above,another dwelling above,single/partial,end-terrace,flat,71,7.0,3,64,boiler,mains gas,15544,private-rented,1920-1949,1.6,,,5.75
E05013653,Bloomsbury,mixed use,1930-1949,solid,uninsulated,another dwelling above,another dwelling above,single/partial,end-terrace,flat,71,7.0,3,64,boiler,mains gas,15544,private-rented,1920-1949,1.6,,,5.75
E05013653,Bloomsbury,mixed use,1930-1949,solid,uninsulated,another dwelling above,another dwelling above,single/partial,end-terrace,flat,71,7.0,3,64,boiler,mains gas,15544,private-rented,1920-1949,1.6,,,5.75
E05013653,Bloomsbury,mixed use,1930-1949,cavity,uninsulated,flat,uninsulated,double/triple,end-terrace,flat,216,7.0,7 to 8,61,boiler,mains gas,36333,private-rented,1920-1949,1.6,1.7,,2.4
E05013653,Bloomsbury,mixed use,1930-1949,solid,uninsulated,another dwelling above,another dwelling above,single/partial,end-terrace,flat,71,7.0,3,64,boiler,mains gas,15544,private-rented,1920-1949,1.6,,,5.75
E05013653,Bloomsbury,residential only,1900-1929,solid,uninsulated,another dwelling above,another dwelling above,secondary,end-terrace,flat,29,,up to 2,68,other,electricity,2777,private-rented,pre-1920,1.7,,,2.82
E05013653,Bloomsbury,mixed use,1930-1949,cavity,uninsulated,flat,uninsulated,double/triple,end-terrace,flat,216,7.0,7 to 8,61,boiler,mains gas,36333,private-rented,1920-1949,1.6,1.7,,2.4
E05013653,Bloomsbury,mixed use,1930-1949,solid,uninsulated,another dwelling above,another dwelling above,single/partial,end-terrace,flat,71,7.0,3,64,boiler,mains gas,15544,private-rented,1920-1949,1.6,,,5.75
E05013653,Bloomsbury,mixed use,1930-1949,solid,uninsulated,another dwelling above,another dwelling above,single/partial,end-terrace,flat,71,7.0,3,64,boiler,mains gas,15544,private-rented,1920-1949,1.6,,,5.75
E05013653,Bloomsbury,mixed use,1930-1949,solid,uninsulated,another dwelling above,another dwelling above,single/partial,end-terrace,flat,71,7.0,3,64,boiler,mains gas,15544,private-rented,1920-1949,1.6,,,5.75
E05013653,Bloomsbury,residential only,1900-1929,solid,uninsulated,another dwelling above,another dwelling above,secondary,end-terrace,flat,29,,up to 2,68,other,electricity,2777,private-rented,pre-1920,1.7,,,2.82
E05013653,Bloomsbury,mixed use,1930-1949,solid,uninsulated,another dwelling above,another dwelling above,single/partial,end-terrace,flat,71,7.0,3,64,boiler,mains gas,15544,private-rented,1920-1949,1.6,,,5.75
E05013653,Bloomsbury,mixed use,1930-1949,cavity,uninsulated,flat,uninsulated,double/triple,end-terrace,flat,216,7.0,7 to 8,61,boiler,mains gas,36333,private-rented,1920-1949,1.6,1.7,,2.4
E05013653,Bloomsbury,mixed use,1930-1949,solid,uninsulated,another dwelling above,another dwelling above,single/partial,end-terrace,flat,71,7.0,3,64,boiler,mains gas,15544,private-rented,1920-1949,1.6,,,5.75
E05013653,Bloomsbury,residential only,1900-1929,solid,uninsulated,another dwelling above,another dwelling above,secondary,end-terrace,flat,29,,up to 2,68,other,electricity,2777,private-rented,pre-1920,1.7,,,2.82
E05013653,Bloomsbury,residential only,1900-1929,solid,uninsulated,another dwelling above,another dwelling above,secondary,end-terrace,flat,29,,up to 2,68,other,electricity,2777,private-rented,pre-1920,1.7,,,2.82
E05013653,Bloomsbury,mixed use,1930-1949,solid,uninsulated,another dwelling above,another dwelling above,single/partial,end-terrace,flat,71,7.0,3,64,boiler,mains gas,15544,private-rented,1920-1949,1.6,,,5.75
E05013653,Bloomsbury,mixed use,1930-1949,solid,uninsulated,another dwelling above,another dwelling above,single/partial,end-terrace,flat,71,7.0,3,64,boiler,mains gas,15544,private-rented,1920-1949,1.6,,,5.75
E05013653,Bloomsbury,mixed use,1930-1949,cavity,uninsulated,flat,uninsulated,double/triple,end-terrace,flat,216,7.0,7 to 8,61,boiler,mains gas,36333,private-rented,1920-1949,1.6,1.7,,2.4
E05013653,Bloomsbury,mixed use,1930-1949,cavity,uninsulated,flat,uninsulated,double/triple,end-terrace,flat,216,7.0,7 to 8,61,boiler,mains gas,36333,private-rented,1920-1949,1.6,1.7,,2.4
E05013653,Bloomsbury,mixed use,1930-1949,solid,uninsulated,another dwelling above,another dwelling above,single/partial,end-terrace,flat,71,7.0,3,64,boiler,mains gas,15544,private-rented,1920-1949,1.6,,,5.75
E05013653,Bloomsbury,mixed use,1930-1949,solid,uninsulated,another dwelling above,another dwelling above,single/partial,end-terrace,flat,71,7.0,3,64,boiler,mains gas,15544,private-rented,1920-1949,1.6,,,5.75
E05013653,Bloomsbury,mixed use,1930-1949,solid,uninsulated,another dwelling above,another dwelling above,single/partial,end-terrace,flat,71,7.0,3,64,boiler,mains gas,15544,private-rented,1920-1949,1.6,,,5.75
E05013653,Bloomsbury,mixed use,1930-1949,cavity,uninsulated,flat,uninsulated,double/triple,end-terrace,flat,216,7.0,7 to 8,61,boiler,mains gas,36333,private-rented,1920-1949,1.6,1.7,,2.4
E05013653,Bloomsbury,mixed use,1930-1949,solid,uninsulated,another dwelling above,another dwelling above,single/partial,end-terrace,flat,71,7.0,3,64,boiler,mains gas,15544,private-rented,1920-1949,1.6,,,5.75
E05013653,Bloomsbury,residential only,1900-1929,solid,uninsulated,another dwelling above,another dwelling above,secondary,end-terrace,flat,68,7.0,3,65,boiler,mains gas,13493,private-rented,pre-1920,1.7,,,2.82
E05013653,Bloomsbury,mixed use,1900-1929,cavity,uninsulated,another dwelling above,another dwelling above,double/triple,mid-terrace,flat,100,1.0,4,75,boiler,mains gas,10589,private-rented,pre-1920,1.7,,,2.4
E05013653,Bloomsbury,residential only,1900-1929,solid,uninsulated,another dwelling above,another dwelling above,secondary,end-terrace,flat,29,,up to 2,68,other,electricity,2777,private-rented,pre-1920,1.7,,,2.82
E05013653,Bloomsbury,residential only,pre-1900,solid,uninsulated,another dwelling above,another dwelling above,single/partial,end-terrace,flat,34,4.0,up to 2,71,boiler,mains gas,4789,private-rented,pre-1920,1.7,,,5.75
E05013653,Bloomsbury,residential only,pre-1900,solid,uninsulated,another dwelling above,another dwelling above,double/triple,mid-terrace,flat,127,7.0,5,66,boiler,mains gas,19129,owner-occupied,pre-1920,1.7,,,2.4
E05013653,Bloomsbury,residential only,pre-1900,solid,uninsulated,another dwelling above,another dwelling above,double/triple,end-terrace,flat,64,7.0,3,66,boiler,electricity,3848,private-rented,pre-1920,1.7,,,2.4
E05013653,Bloomsbury,mixed use,1930-1949,solid,uninsulated,another dwelling above,another dwelling above,single/partial,end-terrace,flat,71,7.0,3,64,boiler,mains gas,15544,private-rented,1920-1949,1.6,,,5.75
E05013653,Bloomsbury,residential only,pre-1900,solid,uninsulated,another dwelling above,another dwelling above,single/partial,end-terrace,flat,64,4.0,3,68,communal,mains gas,13252,private-rented,pre-1920,1.7,,,5.75
E05013653,Bloomsbury,mixed use,1900-1929,cavity,uninsulated,another dwelling above,another dwelling above,double/triple,mid-terrace,flat,100,1.0,4,75,boiler,mains gas,10589,private-rented,pre-1920,1.7,,,2.4
E05013653,Bloomsbury,mixed use,1930-1949,solid,uninsulated,another dwelling above,another dwelling above,single/partial,end-terrace,flat,71,7.0,3,64,boiler,mains gas,15544,private-rented,1920-1949,1.6,,,5.75
E05013653,Bloomsbury,mixed use,1930-1949,cavity,uninsulated,flat,uninsulated,double/triple,end-terrace,flat,216,7.0,7 to 8,61,boiler,mains gas,36333,private-rented,1920-1949,1.6,1.7,,2.4
E05013653,Bloomsbury,mixed use,1930-1949,solid,uninsulated,another dwelling above,another dwelling above,single/partial,end-terrace,flat,71,7.0,3,64,boiler,mains gas,15544,private-rented,1920-1949,1.6,,,5.75
E05013653,Bloomsbury,mixed use,1900-1929,cavity,uninsulated,another dwelling above,another dwelling above,double/triple,mid-terrace,flat,100,1.0,4,75,boiler,mains gas,10589,private-rented,pre-1920,1.7,,,2.4
E05013653,Bloomsbury,mixed use,1930-1949,solid,uninsulated,another dwelling above,another dwelling above,single/partial,end-terrace,flat,71,7.0,3,64,boiler,mains gas,15544,private-rented,1920-1949,1.6,,,5.75
E05013653,Bloomsbury,mixed use,1930-1949,cavity,uninsulated,flat,uninsulated,double/triple,end-terrace,flat,216,7.0,7 to 8,61,boiler,mains gas,36333,private-rented,1920-1949,1.6,1.7,,2.4
E05013653,Bloomsbury,mixed use,1930-1949,cavity,uninsulated,flat,uninsulated,double/triple,end-terrace,flat,216,7.0,7 to 8,61,boiler,mains gas,36333,private-rented,1920-1949,1.6,1.7,,2.4
E05013653,Bloomsbury,mixed use,1930-1949,solid,uninsulated,another dwelling above,another dwelling above,single/partial,end-terrace,flat,71,7.0,3,64,boiler,mains gas,15544,private-rented,1920-1949,1.6,,,5.75
E05013653,Bloomsbury,mixed use,1930-1949,cavity,uninsulated,flat,uninsulated,double/triple,end-terrace,flat,216,7.0,7 to 8,61,boiler,mains gas,36333,private-rented,1920-1949,1.6,1.7,,2.4
E05013653,Bloomsbury,mixed use,1930-1949,solid,uninsulated,another dwelling above,another dwelling above,single/partial,end-terrace,flat,71,7.0,3,64,boiler,mains gas,15544,private-rented,1920-1949,1.6,,,5.75
E05013653,Bloomsbury,residential only,pre-1900,solid,uninsulated,another dwelling above,another dwelling above,single/partial,mid-terrace,flat,34,4.0,up to 2,71,boiler,mains gas,5072,private-rented,pre-1920,1.7,,,5.75
E05013653,Bloomsbury,residential only,1900-1929,solid,uninsulated,another dwelling above,another dwelling above,secondary,end-terrace,flat,29,,up to 2,68,other,electricity,2777,private-rented,pre-1920,1.7,,,2.82
E05013653,Bloomsbury,mixed use,1930-1949,solid,uninsulated,another dwelling above,another dwelling above,single/partial,end-terrace,flat,71,7.0,3,64,boiler,mains gas,15544,private-rented,1920-1949,1.6,,,5.75
E05013653,Bloomsbury,mixed use,1900-1929,cavity,uninsulated,another dwelling above,another dwelling above,double/triple,mid-terrace,flat,100,1.0,4,75,boiler,mains gas,10589,private-rented,pre-1920,1.7,,,2.4
E05013653,Bloomsbury,mixed use,1930-1949,solid,uninsulated,another dwelling above,another dwelling above,single/partial,end-terrace,flat,71,7.0,3,64,boiler,mains gas,15544,private-rented,1920-1949,1.6,,,5.75
E05013653,Bloomsbury,mixed use,1930-1949,solid,uninsulated,another dwelling above,another dwelling above,single/partial,end-terrace,flat,71,7.0,3,64,boiler,mains gas,15544,private-rented,1920-1949,1.6,,,5.75
E05013653,Bloomsbury,mixed use,1900-1929,cavity,uninsulated,another dwelling above,another dwelling above,double/triple,mid-terrace,flat,100,1.0,4,75,boiler,mains gas,10589,private-rented,pre-1920,1.7,,,2.4
E05013653,Bloomsbury,mixed use,1930-1949,solid,uninsulated,another dwelling above,another dwelling above,single/partial,end-terrace,flat,71,7.0,3,64,boiler,mains gas,15544,private-rented,1920-1949,1.6,,,5.75
